nos_id,industry,title,overview,performance_criteria,knowledge_understanding,keywords,relevant_roles,ofqual_id,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization,similarity_score
PPL3GEN1,Hospitality Generics,Apply and monitor food safety management procedures in catering and hospitality,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,"- Identify food safety hazards and control measures.
- Allocate and supervise food safety responsibilities.
- Identify and meet staff training needs.
- Ensure operational controls are completed per food safety management procedures.
- Maintain accurate records of checks.
- Take corrective action when control measures fail.
- Report non-compliance to the relevant person.
- Seek expert advice beyond personal expertise.
- Recommend adjustments to procedures based on organizational needs.","- Importance and types of food safety procedures and hazards.
- Understanding of control measures, including critical control points.
- Responsibilities under organizational food safety management procedures.
- Effective communication of food safety responsibilities.
- Training requirements for staff regarding food safety.
- Impact of tolerance on critical control points.
- Types and frequency of safety checks.
- Reporting procedures for failed control measures.
- Traceability importance in food safety.
- Corrective action methods for food safety hazards.
- Continuous improvement principles.
- Relevant food safety legislation and resources.
- Interaction with enforcement officers.
- Organizational food safety procedures.","Food safety management, kitchen management, control measures, critical control points, compliance, corrective action, traceability.","Chef, Manager, Food Safety Supervisor, Catering Manager",600/6642/8,H/502/0390,The principles of food safety management for catering,This unit has been devised to assess the candidates’ ability to understand the principles of food safety management and controls.,"1. Understand how food business operators can ensure compliance with food safety legislation.
  - explain food business operator and staff responsibilities with regard to food safety legislation
  - analyse the requirements of food safety legislation and procedures for compliance and enforcement.
2. Understand the operational requirements needed to ensure food safety
  - explain how the design, layout, construction and maintenance of premises and equipment can affect food safety
  - discuss the implementation, management and application of good hygiene practices, to include cleaning, disinfection and pest control
  - explain procedures for supplier and stock control
  - describe operational methods and safe working practices.
3. Understand how to establish food safety management procedures
  - outline processes for designing and implementing food safety management procedures, including allocating resources, roles and responsibilities
  - analyse the risks to food safety from microbial, physical, chemical and allergenic hazards in a specified food business
  - communicate food safety management information to staff, visitors and suppliers
  - state the need for, and benefits of, staff training and the maintenance of training records.
4. Understand the controls required for food safety
  - review controls for microbial, physical, chemical and allergenic hazards in a specified food business
  - discuss methods for monitoring and recording food safety hazards
  - determine the corrective actions required if food safety hazards are not controlled.
5. Understand how to maintain food safety management procedures
  - explain methods for verifying the effectiveness of food safety management procedures
  - describe circumstances that require adjustment of food safety management procedures
  - describe how to implement adjustments to food safety management procedures
  - outline strategies for developing and maintaining a food safety culture within an organisation",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute,0.799143313095806
SKAHDBR10,Hairdressing and Barbering,Perm and neutralise hair,This qualification is aimed at individuals looking to start a career as a hairdresser and covers a wide range of skills and knowledge required for the hairdressing industry.,"- Conduct a comprehensive client consultation.
- Ensure compliance with health and safety regulations.
- Perform a hair and scalp analysis.
- Carry out suitability tests for perming services.
- Prepare hair for perming using appropriate techniques.
- Apply perming and neutralising solutions effectively.
- Monitor the client's health throughout the service.
- Complete service records and implement reflective practice for service evaluation.","- Roles and responsibilities in perming services.
- Legal and ethical practice related to hair services.
- Anatomy and physiology relevant to hair treatments.
- Contraindications and their implications for services.
- Types and effects of perming solutions.
- Importance of pH balance in hair care.
- Techniques for sectioning and winding hair.","hairdressing, perming, neutralising, curling, client consultation, health and safety, hair analysis, chemical solutions.","- Hairdressers
- Barbers
- Hair and Beauty Technicians
- Hair Service Providers",500/9051/3,A/001/0009,Perm and Neutralise,Understanding perming techniques and neutralisation processes.,"1. Apply perming techniques safely and effectively.
  - Prepare hair for perming correctly.
  - Explain the neutralisation process.",Vocationally-Related Qualification,Level 2,Practical Demonstration/Assignment,Service enterprises,/organisations/RN5217,54.0,470.0,540.0,City and Guilds of London Institute,0.7986713931806371
PROMR14,Mines Rescue Operations,Establish Ventilation for Mines Rescue,"This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Select appropriate environmental measuring equipment.  
- Verify the functionality of measuring equipment.  
- Measure ventilation quality.  
- Report measurement results to relevant authority.  
- Report physical conditions and damages to the authority.  
- Act on instructions from the authority.  
- Remove spoil/equipment to restore ventilation when necessary.  
- Install/reposition equipment to restore adequate ventilation as instructed.","- Key principles and terminology related to mine ventilation (e.g., direction, flow, quality).  
- Legislative requirements and standards for ventilation.  
- Methods and devices used for establishing ventilation (e.g., fans, ducts).  
- Functions of auxiliary ventilation systems and associated advantages/disadvantages.  
- Various types of instruments for measuring airflow and interpretation of readings.  
- Environmental hazards that can impact ventilation.  
- Safe methods for clearing/restoring ventilation.  
- Role responsibilities in recording, reporting, and restoring ventilation.  
- Importance of effective communication in the context of rescue operations.","mines, mining, rescue, underground, operations, hazards, emergency","- Coal mine operatives  
- Quarry workers  
- Managers in mining and energy  
- Mines Rescue Operations personnel",610/2911/7,F/650/7598,Establish Ventilation for Mines Rescue,Covers procedures for establishing ventilation in rescue situations.,"1. Understand ventilation requirements in mine rescue.
  - Design ventilation systems for safety.
  - Implement ventilation measures effectively.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7951033999948122
PROMR18,Mines Rescue Operations,Maintain the surface emergency base,"This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Confirm normal operation of utility services.  
- Maintain rescue room log.  
- Control arrival and departure documentation of rescue personnel.  
- Verify fitness and competencies of rescue workers.  
- Organize rescue teams and establish communication with other control points.  
- Allocate and supervise equipment checks.  
- Organize transportation and movements around rescue operations.  
- Set up and maintain a succession planner for teams.  
- Arrange for the segregation and service of used equipment.  
- Ensure exclusive use of rescue facilities for emergency operations.  
- Complete records/reports according to legal and organizational standards.  
- Conduct debriefings at shift changes.  
- Advise on the rescue service’s capabilities and limitations.  
- Plan for additional staff from other areas as needed.  
- Respond to changes in circumstances promptly and appropriately.","- Understanding the objectives and scope of mines rescue work.  
- Knowledge of the management structure and emergency procedures in mining.  
- Familiarity with legislative and organizational requirements.  
- Ability to allocate tasks and maintain effective communication.  
- Knowledge of transportation arrangements for personnel and equipment.  
- Understanding control centre operations and incident logging.  
- Familiarity with reporting procedures and equipment checks.  
- Knowledge of hazardous environments and mitigation strategies.  
- Understanding the principles of first aid and casualty management.  
- Awareness of organizational policies for media communication.  
- Ability to respond to changing circumstances during emergencies.","mines, mining, rescue, underground, operations, hazards, emergency","Coal mine operatives, Quarry workers and related operatives, Managers in mining and energy, Mines Rescue Operations personnel.",610/2911/7,F/650/7605,Maintain the Surface Emergency Base/Rescue Room in Mines Rescue Operations,Teaches maintenance of emergency bases for mining operations.,"1. Effectively maintain emergency operational rooms.
  - Manage resources at the command base.
  - Ensure readiness of the rescue room.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7832884230018339
SKAH18,African Type Hair Hairdressing Standards,Provide scalp massage services,This qualification is aimed at individuals looking to start a career as a hairdresser and covers a wide range of skills and knowledge required for the hairdressing industry.,"- Maintain effective and safe working methods during scalp massage  
- Prepare the hair and scalp appropriately for massage  
- Execute scalp massage utilizing varied techniques and pressure  
- Recognize and respond to client reactions during treatment  
- Ensure cleanliness and satisfaction for the client post-service","- Salon and legal operational standards  
- Safety, hygiene, and effective massage practices  
- Understanding of products and their suitability for various hair and skin types  
- Communication techniques for effective client consultation  
- Anatomy relevant to scalp massage and its physiological effects  
- Guidelines for aftercare products suitable for client use","scalp massage, manual techniques, mechanical techniques, hygiene, client consultation, anatomy, massage media, safe working practices","Hairdressers, scalp massage practitioners, and personal service providers in hairdressing occupations.",500/9051/3,A/001/0010,Scalp Massage,Skills for performing scalp massage as part of hair treatments.,"1. Execute therapeutic scalp massages.
  - Demonstrate knowledge of pressure points.
  - Ensure client comfort during the massage.",Vocationally-Related Qualification,Level 2,Practical Demonstration/Assignment,Service enterprises,/organisations/RN5217,54.0,470.0,540.0,City and Guilds of London Institute,0.7755990311572412
PPLRPVD32,Road Passenger Vehicle Driving,"Transport children and young persons by taxi, private hire or chauffeuring",The Level 2 Certificate in Introduction to the Role of the Professional Taxi and Private Hire Driver is designed to provide learners with the essential knowledge and skills needed for professional development in taxi and private hire driving.,"- Prepare the vehicle in compliance with licensing and LEA specifications.  
- Conduct vehicle inspections for safety and accessibility features.  
- Confirm contract details for transporting children and young persons.  
- Assist with seat belts and child restraints as necessary.  
- Ensure timely arrival at collection and destination points.  
- Follow operator policies and LEA/licensing conditions during transport.","- Understand vehicle safety checks and their importance within contracts.  
- Recognize laws regarding seat belts for children.  
- Grasp the concept of 'duty of care' and legal responsibilities related to child transport.  
- Know the role of the Independent Safeguarding Authority.  
- Be aware of the driver's and assistant's responsibilities under contracts.  
- Communicate effectively with children, addressing safety and behavior management.  
- Develop and implement contingency plans for emergencies.  
- Maintain accurate records of incidents and events related to transportation.","taxi, hackney carriage, private hire, children, young persons, duty of care, negligence, vehicle inspection, safeguarding, handover, contingency plan.","- Taxi Drivers  
- Private Hire Vehicle Drivers  
- Chauffeurs",603/3979/2,H/617/3989,Taxi and Private Hire: Safely Transport School Age Children,This unit covers specific requirements for transporting school age children safely in taxi services.,"1. Implement protocols for the safe transport of children by taxi.
  - Understand legal obligations regarding child passengers.
  - Use appropriate child safety seats when necessary.",Occupational Qualification,Level 2,"Multiple Choice Examination, Practical Demonstration/Assignment",Transportation operations and maintenance,/organisations/RN5167,16.0,82.0,160.0,Scottish Qualifications Authority trading as SQA,0.7728838256143834
PROMR08,Mines Rescue Operations,Fight underground mine fire,"This qualification is specifically designed for the officers in Mines Rescue Services, confirming competence in an occupational role to the required standards.","- Obtain and utilize relevant information from senior personnel.  
- Confirm transport arrangements and ensure team and equipment readiness.  
- Maintain effective communication during operations.  
- Ensure safety at assembly points and establish fire-fighting areas.  
- Prepare and maintain incident logs and resource requests.  
- Manage fire-fighting logistics, including the use of necessary equipment and protective gear.  
- Oversee fire-fighting techniques and ensure adherence to organizational procedures.  
- Address post-fire procedures to prevent re-ignition and manage equipment condition.","- Legislative requirements for fire-fighting equipment.  
- Types and uses of hoses and associated equipment.  
- Fire-fighting techniques and hazard assessments.  
- Understanding of fire behavior and extinguishment methods.  
- Organizational reporting procedures and incident log management.  
- Implications of underground fires and welfare considerations for personnel.","mines, mining, rescue, underground, operations, hazards, emergency","- Coal mine operatives  
- Quarry workers and related operatives  
- Managers in mining and energy  
- Mines rescue personnel",610/2911/7,L/650/7591,Fight Underground Mine Fire,Covers techniques for combating fires in underground mines.,"1. Apply fire fighting techniques in underground settings.
  - Identify fire hazards in underground mines.
  - Execute firefighting techniques safely.",Occupational Qualification,Level 4,"Observation, Portfolio of Evidence, Practical Demonstration/Assignment, Professional Discussion",Manufacturing technologies,/organisations/RN5195,121.0,352.0,1176.0,MP Awards,0.7720826957500111
IMPEM103,Food and Drink,"Support commissioning of plant, equipment and process in food and drink operations","This qualification is designed primarily for learners who wish to develop advanced occupational skills and knowledge in a wide range of supervisory and monitoring skills in food processing, food service and retail to confirm occupational competence in specific job roles including food processing controller, food packaging technician, food service supervisor, and quality assurance manager.","- Monitor and adhere to hygiene, health and safety, and environmental procedures.  
- Identify and report the need for additional hygiene and health and safety procedures.  
- Recognize training needs related to new or modified plant and equipment operation.  
- Establish the status of all relevant equipment.  
- Record and evaluate operational responses of plant and equipment against specifications.  
- Take corrective actions for performance discrepancies and report as required.  
- Provide valid advice to improve performance.  
- Maintain spoken and written communication with managers and colleagues.  
- Complete documentation following organizational procedures.","- Standards for health, safety, and hygiene required in operations.  
- Environmental procedures and their importance.  
- Understanding personal authority and competence limits.  
- Communication methods and lines with relevant stakeholders.  
- Supplier communication for commissioning requirements.  
- Documentation requirements and their significance.  
- Accessing and interpreting plant, process, and equipment specifications.  
- Impact of commissioning on operations.  
- Carrying out training needs analysis.  
- Status identification of equipment.  
- Range of corrective actions available and their timing.  
- Conducting process validation.","Food, drink, manufacture, commissioning, plant, equipment, handover","Manufacturing Technologies, Plant and Machine Operatives, Process Operatives, Process, Plant and Machine Operatives.",600/0478/2,J/502/7428,"Support commissioning of plant, equipment and processes in food operations","This unit supports workforce development for understanding how to support commissioning of plant, equipment, and processes in food business.","1. Understand how to plan commissioning
  - Explain how to construct a commissioning plan
  - Summarise how to source procedures and specifications
  - Explain the importance of training to the implementation of new plant, equipment or processes.
2. Understand how to monitor commissioning
  - Explain the importance of cross-functional working
  - State types and sources of relevant information and data
  - Explain how to use collated information and data to inform improvements to the operation of the plant, equipment or process.
3. Understand how to support commissioning
  - Evaluate the impact on operations commissioning may have
  - Complete commissioning activity in accordance with organisational requirements.",Occupational Qualification,Level 3,Portfolio of Evidence,Manufacturing technologies,/organisations/RN5184,27.0,109.0,270.0,FDQ Limited,0.7710381177349787
PPLRS21,Rail Services,Operate Control Room Equipment to Meet Operational Requirements in the Rail Industry,This qualification is aimed at anyone who wants to prove competence at the level of skills and knowledge required to work competently in the control operations room ensuring the service runs smoothly.,"- Select appropriate control room equipment for tasks.  
- Assess operational suitability of selected equipment.  
- Operate equipment according to instructions and procedures.  
- Identify and respond to faults and failures promptly.  
- Complete required documentation accurately.  
- Establish and report the nature and cause of equipment failures.  
- Evaluate effects of failures on service provision.  
- Identify and implement courses of action to mitigate effects of failures.  
- Maintain clear communication with relevant organizations.  
- Restore control room equipment use effectively.  
- Inform relevant personnel promptly when equipment is operational again.","- Understanding of control room equipment and associated software.  
- Knowledge of suitable and limited capabilities of control room equipment.  
- Importance of effective communication within the organization.  
- Procedures for operation and responding to equipment faults.  
- Mechanisms of interaction between control room equipment and systems.  
- Documentation requirements for operational activities.  
- Organizational policies regarding equipment loss and failure.  
- Causes of equipment failures and strategies to restore functionality.","control room, equipment, system, failure, rail industry","Control room operators, Transportation operations personnel, Transport drivers and operatives.",500/9555/9,A/001/0001,Control Room Operations,"This unit covers the key activities required to monitor and ensure the provision of train services, identify and respond to deviations from planned services, implement plans to meet operational requirements, and operate control room equipment.","1. Monitor and ensure the provision of train services
  - Identify service requirements
  - Implement monitoring processes
2. Respond to deviations from planned services
  - Recognize deviations
  - Implement corrective actions
3. Meet operational requirements
  - Develop operational plans
  - Execute operational strategies
4. Operate control room equipment
  - Familiarization with equipment
  - Execute operational tasks using equipment",Occupational Qualification,Level 2,Portfolio of Evidence,Transportation operations and maintenance,/organisations/RN5217,50.0,336.0,500.0,City and Guilds of London Institute,0.7708114811487308
CCSJ44,"Jewellery Manufacture, Silversmithing and Allied Trades",Form jewellery components using advanced techniques,Level 5 Diploma in Jewellery Design and Manufacturing focusing on advanced techniques in jewellery manufacturing and design.,"- Plan production of jewellery components according to project needs.  
- Produce design specifications and work schedules following industry best practices.  
- Utilize a range of advanced techniques to create jewellery components.  
- Conduct checks for dimensional accuracy and quality assurance.  
- Dry assemble components to verify fit and tolerance before final fixing.  
- Communicate production needs effectively.  
- Implement production plans in adherence to best practices.  
- Inspect work for defects and take corrective action when needed.  
- Deliver completed work to meet given specifications.","- Safety precautions for hand and machine tool usage.  
- Techniques to illustrate and communicate jewellery designs.  
- Methods for calculating dimensions for component production.  
- Techniques for creating advanced three-dimensional jewellery forms.  
- General gemmology theory relevant to jewellery settings.  
- Properties of materials used in jewellery making.  
- Tools and processes for making jigs or aids for advanced components.  
- Additional forming techniques for fabricating intricate jewellery.  
- Knowledge of CNC, laser, and other advanced technologies in jewellery production.  
- Methods for verifying dimensional accuracy and specifications.  
- Awareness of common defects and rectification methods.  
- Best practices in advanced jewellery forming techniques within the industry.","Jewellery, design, technique, product, components, silverwork, metallurgy, advanced, complex, expert","- Design Associate Professionals  
- Skilled Trades within Jewellery Manufacture, Silversmithing and Allied Trades",603/4592/5,R/617/4989,Advanced Forming and Joining Techniques for Jewellery Manufacturing,This unit covers advanced techniques utilized in the forming and joining of various materials used in jewellery manufacturing.,"1. Demonstrate advanced forming techniques.
  - Utilize appropriate methods for forming materials.
  - Achieve high-quality finishes in jewellery components.
2. Apply joining techniques to jewellery materials.
  - Select suitable joining techniques based on material properties.
  - Ensure structural integrity in finished products.",Occupational Qualification,Level 5,"Portfolio of Evidence, Practical Demonstration/Assignment",Manufacturing technologies,/organisations/RN5167,108.0,612.0,1080.0,Scottish Qualifications Authority trading as SQA,0.7706226928864379
